type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.269630000,8.851040000,519.7,,1.553,0.00,,
T,48.269570000,8.851050000,519.5,-3.2,1.560,6.71,,
T,48.268970000,8.851180000,518.0,-2.2,1.627,67.41,,
T,48.268880000,8.851200000,518.0,0.3,1.637,10.12,,
T,48.268160000,8.851360000,522.6,5.6,1.718,80.94,,
T,48.267780000,8.851420000,521.9,-1.6,1.761,42.49,,
T,48.267690000,8.851440000,521.8,-0.8,1.771,10.12,,
T,48.267540000,8.851450000,521.8,-0.2,1.787,16.70,,
T,48.267410000,8.851470000,521.8,0.2,1.802,14.53,,
T,48.267310000,8.851480000,521.9,0.8,1.813,11.14,,
T,48.267160000,8.851500000,521.8,-0.7,1.830,16.75,,
T,48.266940000,8.851540000,521.0,-3.2,1.854,24.64,,
T,48.266690000,8.851590000,520.7,-0.9,1.883,28.05,,
T,48.266540000,8.851630000,520.9,1.1,1.899,16.94,,
T,48.266450000,8.851660000,521.0,0.7,1.910,10.25,,
T,48.266150000,8.851730000,522.1,3.2,1.943,33.76,,
T,48.265780000,8.851830000,524.3,5.3,1.985,41.81,,
T,48.265700000,8.851850000,524.8,5.5,1.994,9.02,,
T,48.265590000,8.851820000,525.4,4.5,2.007,12.43,,
T,48.265430000,8.851860000,526.1,4.4,2.025,18.04,,
T,48.264870000,8.851990000,527.3,1.9,2.088,63.01,,
T,48.264750000,8.852030000,527.3,0.2,2.101,13.67,,
T,48.264600000,8.852080000,527.5,0.6,2.119,17.09,,
T,48.264500000,8.852110000,527.8,2.7,2.130,11.34,,
T,48.264390000,8.852150000,528.2,3.4,2.142,12.59,,
T,48.264250000,8.852170000,528.7,3.2,2.158,15.64,,
T,48.264050000,8.852200000,529.0,1.3,2.180,22.35,,
T,48.263910000,8.852230000,529.0,0.0,2.196,15.73,,
T,48.263720000,8.852280000,528.4,-2.8,2.218,21.45,,
T,48.263280000,8.852400000,527.2,-2.4,2.267,49.73,,
T,48.263280000,8.852400000,527.2,,2.267,0.00,,
T,48.263200000,8.852000000,527.5,0.9,2.298,31.00,,
T,48.263180000,8.851870000,527.7,1.9,2.308,9.90,,
T,48.263150000,8.851770000,527.9,2.5,2.316,8.14,,
T,48.263110000,8.851670000,528.0,1.4,2.325,8.65,,
T,48.263070000,8.851390000,528.0,0.0,2.346,21.26,,
T,48.263040000,8.851160000,527.3,-3.8,2.364,17.40,,
T,48.263020000,8.850890000,526.5,-4.2,2.384,20.17,,
T,48.263010000,8.850700000,526.2,-1.7,2.398,14.15,,
T,48.262990000,8.850210000,526.0,-0.7,2.435,36.45,,
T,48.263000000,8.849990000,526.0,0.0,2.451,16.37,,
T,48.263000000,8.849830000,526.0,0.0,2.463,11.88,,
T,48.263020000,8.849580000,526.0,0.0,2.481,18.69,,
T,48.263040000,8.849400000,526.0,0.0,2.495,13.55,,
T,48.263060000,8.849220000,526.0,0.0,2.509,13.55,,
T,48.263090000,8.848970000,526.1,0.5,2.527,18.86,,
T,48.263130000,8.848740000,526.3,1.0,2.545,17.65,,
T,48.263180000,8.848510000,526.1,-1.0,2.563,17.96,,
T,48.263220000,8.848320000,525.6,-3.5,2.578,14.79,,
T,48.263300000,8.848050000,525.0,-2.7,2.600,21.93,,
T,48.263330000,8.847960000,524.7,-4.3,2.607,7.47,,
T,48.263460000,8.847580000,522.4,-7.0,2.639,31.70,,
T,48.263460000,8.847580000,522.4,,2.639,0.00,,
T,48.263570000,8.847330000,521.4,-4.8,2.661,22.23,,
T,48.263660000,8.847140000,521.4,0.2,2.678,17.30,,
T,48.263990000,8.846470000,522.5,1.8,2.740,61.81,,
T,48.264150000,8.846070000,523.2,1.8,2.775,34.62,,
T,48.264170000,8.846010000,523.4,4.2,2.780,4.98,,
T,48.264280000,8.845650000,523.7,1.2,2.809,29.39,,
T,48.264450000,8.845180000,521.0,-7.0,2.849,39.69,,
T,48.264590000,8.844960000,520.1,-3.8,2.871,22.56,,
T,48.264780000,8.844800000,519.5,-2.4,2.896,24.24,,
T,48.264940000,8.844740000,519.2,-2.0,2.914,18.34,,
T,48.265020000,8.844730000,518.9,-2.8,2.923,8.93,,
T,48.265150000,8.844740000,518.5,-3.0,2.937,14.47,,
T,48.265250000,8.844770000,518.2,-2.0,2.949,11.34,,
T,48.265360000,8.844810000,518.3,0.6,2.961,12.59,,
T,48.265600000,8.844890000,518.7,1.3,2.989,27.34,,
T,48.265680000,8.844920000,518.8,1.9,2.998,9.17,,
T,48.266080000,8.845090000,520.8,4.3,3.044,46.23,,
T,48.266210000,8.845150000,521.9,6.8,3.059,15.13,,
T,48.266340000,8.845200000,522.9,6.7,3.074,14.92,,
T,48.266390000,8.845230000,523.2,5.0,3.080,5.99,,
T,48.266490000,8.845270000,523.4,1.9,3.092,11.51,,
T,48.266570000,8.845370000,523.3,-0.6,3.103,11.59,,
T,48.266960000,8.845580000,523.0,-0.7,3.149,46.08,,
T,48.267140000,8.845610000,523.1,0.7,3.169,20.14,,
T,48.267170000,8.845620000,523.2,1.5,3.173,3.42,,
T,48.267970000,8.846060000,522.1,-1.1,3.268,94.76,,
T,48.267980000,8.846070000,522.0,-9.8,3.269,1.34,,
T,48.268160000,8.846160000,520.7,-6.2,3.290,21.10,,
T,48.268220000,8.846220000,520.1,-6.8,3.298,8.02,,
T,48.268270000,8.846320000,519.1,-11.4,3.307,9.27,,
T,48.268370000,8.846540000,517.5,-8.3,3.327,19.76,,
T,48.268460000,8.846700000,517.1,-2.6,3.343,15.53,,
T,48.268540000,8.846760000,517.2,2.0,3.353,9.95,,
T,48.269030000,8.847000000,520.7,6.0,3.410,57.32,,
T,48.269270000,8.847100000,522.1,5.0,3.438,27.70,,
T,48.269270000,8.847100000,522.1,,3.438,0.00,,
T,48.269260000,8.847200000,522.3,2.5,3.445,7.51,,
T,48.269260000,8.847300000,522.3,0.7,3.453,7.42,,
T,48.269270000,8.847410000,522.4,0.4,3.461,8.24,,
T,48.269270000,8.847410000,522.4,,3.461,0.00,,
T,48.269310000,8.847450000,522.5,2.7,3.466,5.35,,
T,48.269440000,8.847550000,522.8,1.8,3.482,16.25,,
T,48.269560000,8.847620000,522.2,-4.6,3.497,14.32,,
T,48.269620000,8.847670000,521.8,-5.2,3.504,7.63,,
T,48.269660000,8.847730000,521.4,-5.7,3.511,6.29,,
T,48.269690000,8.847780000,521.1,-5.8,3.516,4.99,,
T,48.269770000,8.847920000,520.5,-4.5,3.529,13.68,,
T,48.269770000,8.847920000,520.5,,3.529,0.00,,
T,48.269740000,8.847950000,520.4,-2.7,3.533,4.01,,
T,48.269730000,8.847970000,520.3,-3.9,3.535,1.85,,
T,48.269730000,8.847990000,520.2,-4.8,3.537,1.48,,
T,48.269720000,8.848010000,520.2,-3.1,3.539,1.85,,
T,48.269720000,8.848030000,520.1,-4.8,3.540,1.48,,
T,48.269730000,8.848050000,520.0,-4.7,3.542,1.85,,
T,48.269730000,8.848070000,519.9,-4.8,3.543,1.48,,
T,48.269740000,8.848090000,519.9,-3.9,3.545,1.85,,
T,48.269740000,8.848100000,519.8,-4.8,3.546,0.74,,
T,48.269750000,8.848120000,519.8,-3.9,3.548,1.85,,
T,48.269770000,8.848140000,519.7,-2.7,3.551,2.67,,
T,48.269810000,8.848150000,519.7,-0.8,3.555,4.51,,
T,48.269820000,8.848150000,519.7,0.0,3.556,1.11,,
T,48.269820000,8.848160000,519.6,-4.8,3.557,0.74,,
T,48.269830000,8.848150000,519.7,2.7,3.558,1.34,,
T,48.269840000,8.848150000,519.7,0.0,3.559,1.11,,
T,48.269850000,8.848150000,519.7,0.0,3.560,1.11,,
T,48.269850000,8.848140000,519.7,4.8,3.561,0.74,,
T,48.269860000,8.848140000,519.7,0.0,3.562,1.11,,
T,48.269880000,8.848100000,519.8,3.9,3.566,3.71,,
T,48.270470000,8.848380000,520.0,0.2,3.635,68.82,,
T,48.270970000,8.848600000,519.6,-0.7,3.693,57.95,,
T,48.271160000,8.848660000,519.9,1.4,3.714,21.59,,
T,48.271300000,8.848710000,519.9,0.2,3.730,16.00,,
T,48.271630000,8.848810000,520.5,1.6,3.768,37.44,,
T,48.272160000,8.848950000,523.6,5.1,3.828,59.84,,
