type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.268880000,8.851200000,518.0,0.3,1.534,10.12,,
T,48.268160000,8.851360000,522.6,5.6,1.615,80.94,,
T,48.267780000,8.851420000,521.9,-1.6,1.658,42.49,,
T,48.267690000,8.851440000,521.8,-0.8,1.668,10.12,,
T,48.267540000,8.851450000,521.8,-0.2,1.684,16.70,,
T,48.267410000,8.851470000,521.8,0.2,1.699,14.53,,
T,48.267310000,8.851480000,521.9,0.8,1.710,11.14,,
T,48.267160000,8.851500000,521.8,-0.7,1.727,16.75,,
T,48.266940000,8.851540000,521.0,-3.2,1.751,24.64,,
T,48.266690000,8.851590000,520.7,-0.9,1.779,28.05,,
T,48.266540000,8.851630000,520.9,1.1,1.796,16.94,,
T,48.266450000,8.851660000,521.0,0.7,1.807,10.25,,
T,48.266150000,8.851730000,522.1,3.2,1.840,33.76,,
T,48.265780000,8.851830000,524.3,5.3,1.882,41.81,,
T,48.265700000,8.851850000,524.8,5.5,1.891,9.02,,
T,48.265590000,8.851820000,525.4,4.5,1.904,12.43,,
T,48.265430000,8.851860000,526.1,4.4,1.922,18.04,,
T,48.264870000,8.851990000,527.3,1.9,1.985,63.01,,
T,48.264720000,8.852040000,527.3,0.0,2.002,17.09,,
T,48.264500000,8.852110000,527.8,1.8,2.027,25.01,,
T,48.264390000,8.852150000,528.2,3.4,2.039,12.59,,
T,48.264250000,8.852170000,528.7,3.2,2.055,15.64,,
T,48.264050000,8.852200000,529.0,1.3,2.077,22.35,,
T,48.263910000,8.852230000,529.0,0.0,2.093,15.73,,
T,48.263720000,8.852280000,528.4,-2.8,2.115,21.45,,
T,48.263280000,8.852400000,527.2,-2.4,2.164,49.73,,
T,48.263280000,8.852400000,527.2,,2.164,0.00,,
T,48.263200000,8.852000000,527.5,0.9,2.195,31.00,,
T,48.263180000,8.851870000,527.7,1.9,2.205,9.90,,
T,48.263150000,8.851770000,527.9,2.5,2.213,8.14,,
T,48.263110000,8.851670000,528.0,1.4,2.222,8.65,,
T,48.263070000,8.851390000,528.0,0.0,2.243,21.26,,
T,48.263040000,8.851160000,527.3,-3.8,2.261,17.40,,
T,48.263020000,8.850890000,526.5,-4.2,2.281,20.17,,
T,48.263010000,8.850700000,526.2,-1.7,2.295,14.15,,
T,48.262990000,8.850210000,526.0,-0.7,2.331,36.45,,
T,48.263000000,8.849990000,526.0,0.0,2.348,16.37,,
T,48.263000000,8.849830000,526.0,0.0,2.360,11.88,,
T,48.263020000,8.849580000,526.0,0.0,2.378,18.69,,
T,48.263040000,8.849400000,526.0,0.0,2.392,13.55,,
T,48.263060000,8.849220000,526.0,0.0,2.405,13.55,,
T,48.263090000,8.848970000,526.1,0.5,2.424,18.86,,
T,48.263130000,8.848740000,526.3,1.0,2.442,17.65,,
T,48.263180000,8.848510000,526.1,-1.0,2.460,17.96,,
T,48.263220000,8.848320000,525.6,-3.5,2.475,14.79,,
T,48.263300000,8.848050000,525.0,-2.7,2.497,21.93,,
T,48.263330000,8.847960000,524.7,-4.3,2.504,7.47,,
T,48.263460000,8.847580000,522.4,-7.0,2.536,31.70,,
T,48.263460000,8.847580000,522.4,,2.536,0.00,,
T,48.263570000,8.847330000,521.4,-4.8,2.558,22.23,,
T,48.263660000,8.847140000,521.4,0.2,2.575,17.30,,
T,48.263990000,8.846470000,522.5,1.8,2.637,61.81,,
T,48.264040000,8.846350000,522.5,0.0,2.648,10.50,,

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.264040000,8.846350000,522.5,,0.000,,"Messegelände Balingen, Ausstellungsgel. Stetten, Balingen - Balingen(Württ), Balingen","1.9 km, 0:05"
T,48.264150000,8.846070000,523.2,2.6,0.024,24.12,,
T,48.264170000,8.846010000,523.4,4.2,0.029,4.98,,
T,48.264280000,8.845650000,523.7,1.2,0.058,29.39,,
T,48.264450000,8.845180000,521.0,-7.0,0.098,39.69,,
T,48.264590000,8.844960000,520.1,-3.8,0.121,22.56,,
T,48.264780000,8.844800000,519.5,-2.4,0.145,24.24,,
T,48.264940000,8.844740000,519.2,-2.0,0.163,18.34,,
T,48.265020000,8.844730000,518.9,-2.8,0.172,8.93,,
T,48.265150000,8.844740000,518.5,-3.0,0.187,14.47,,
T,48.265250000,8.844770000,518.2,-2.0,0.198,11.34,,
T,48.265360000,8.844810000,518.3,0.6,0.211,12.59,,
T,48.265600000,8.844890000,518.7,1.3,0.238,27.34,,
T,48.265680000,8.844920000,518.8,1.9,0.247,9.17,,
T,48.266080000,8.845090000,520.8,4.3,0.293,46.23,,
T,48.266210000,8.845150000,521.9,6.8,0.309,15.13,,
T,48.266340000,8.845200000,522.9,6.7,0.323,14.92,,
T,48.266390000,8.845230000,523.2,5.0,0.329,5.99,,
T,48.266490000,8.845270000,523.4,1.9,0.341,11.51,,
T,48.266570000,8.845370000,523.3,-0.6,0.353,11.59,,
T,48.266960000,8.845580000,523.0,-0.7,0.399,46.08,,
T,48.267140000,8.845610000,523.1,0.7,0.419,20.14,,
T,48.267170000,8.845620000,523.2,1.5,0.422,3.42,,
T,48.267970000,8.846060000,522.1,-1.1,0.517,94.76,,
T,48.267980000,8.846070000,522.0,-9.8,0.518,1.34,,
T,48.268160000,8.846160000,520.7,-6.2,0.539,21.10,,
T,48.268220000,8.846220000,520.1,-6.8,0.547,8.02,,
T,48.268270000,8.846320000,519.1,-11.4,0.557,9.27,,
T,48.268370000,8.846540000,517.5,-8.3,0.576,19.76,,
T,48.268460000,8.846700000,517.1,-2.6,0.592,15.53,,
T,48.268540000,8.846760000,517.2,2.0,0.602,9.95,,
T,48.269030000,8.847000000,520.7,6.0,0.659,57.32,,
T,48.269270000,8.847100000,522.1,5.0,0.687,27.70,,
T,48.269270000,8.847100000,522.1,,0.687,0.00,,
T,48.269260000,8.847200000,522.3,2.5,0.694,7.51,,
T,48.269260000,8.847300000,522.3,0.7,0.702,7.42,,
T,48.269270000,8.847410000,522.4,0.4,0.710,8.24,,
T,48.269270000,8.847410000,522.4,,0.710,0.00,,
T,48.269310000,8.847450000,522.5,2.7,0.715,5.35,,
T,48.269440000,8.847550000,522.8,1.8,0.732,16.25,,
T,48.269560000,8.847620000,522.2,-4.6,0.746,14.32,,
T,48.269620000,8.847670000,521.8,-5.2,0.754,7.63,,
T,48.269660000,8.847730000,521.4,-5.7,0.760,6.29,,
T,48.269690000,8.847780000,521.1,-5.8,0.765,4.99,,
T,48.269770000,8.847920000,520.5,-4.5,0.779,13.68,,
T,48.269770000,8.847920000,520.5,,0.779,0.00,,
T,48.269740000,8.847950000,520.4,-2.7,0.783,4.01,,
T,48.269730000,8.847970000,520.3,-3.9,0.784,1.85,,
T,48.269730000,8.847990000,520.2,-4.8,0.786,1.48,,
T,48.269720000,8.848010000,520.2,-3.1,0.788,1.85,,
T,48.269720000,8.848030000,520.1,-4.8,0.789,1.48,,
T,48.269730000,8.848050000,520.0,-4.7,0.791,1.85,,
T,48.269730000,8.848070000,519.9,-4.8,0.793,1.48,,
T,48.269740000,8.848090000,519.9,-3.9,0.795,1.85,,
T,48.269740000,8.848100000,519.8,-4.8,0.795,0.74,,
T,48.269750000,8.848120000,519.8,-3.9,0.797,1.85,,
T,48.269770000,8.848140000,519.7,-2.7,0.800,2.67,,
T,48.269810000,8.848150000,519.7,-0.8,0.804,4.51,,
T,48.269820000,8.848150000,519.7,0.0,0.805,1.11,,
T,48.269820000,8.848160000,519.6,-4.8,0.806,0.74,,
T,48.269830000,8.848150000,519.7,2.7,0.807,1.34,,
T,48.269840000,8.848150000,519.7,0.0,0.809,1.11,,
T,48.269850000,8.848150000,519.7,0.0,0.810,1.11,,
T,48.269850000,8.848140000,519.7,4.8,0.810,0.74,,
T,48.269860000,8.848140000,519.7,0.0,0.812,1.11,,
T,48.269880000,8.848100000,519.8,3.9,0.815,3.71,,
T,48.270470000,8.848380000,520.0,0.2,0.884,68.82,,
T,48.270970000,8.848600000,519.6,-0.7,0.942,57.95,,
T,48.271160000,8.848660000,519.9,1.4,0.964,21.59,,
T,48.271300000,8.848710000,519.9,0.2,0.980,16.00,,
T,48.271630000,8.848810000,520.5,1.6,1.017,37.44,,
T,48.272160000,8.848950000,523.6,5.1,1.077,59.84,,
T,48.272710000,8.849130000,526.1,4.1,1.140,62.60,,
T,48.272900000,8.849200000,525.4,-3.0,1.161,21.76,,
T,48.273290000,8.849390000,523.5,-4.2,1.207,45.60,,
T,48.273450000,8.849460000,521.2,-12.3,1.225,18.53,,
T,48.273450000,8.849470000,521.2,-7.7,1.226,0.74,,
T,48.273450000,8.849480000,521.1,-7.7,1.227,0.74,,
T,48.273450000,8.849490000,521.1,-7.7,1.228,0.74,,
T,48.273450000,8.849500000,521.0,-7.7,1.228,0.74,,
T,48.273450000,8.849510000,520.9,-7.7,1.229,0.74,,
T,48.273450000,8.849520000,520.9,-7.7,1.230,0.74,,
T,48.273450000,8.849530000,520.8,-7.7,1.231,0.74,,
T,48.273450000,8.849540000,520.8,-7.7,1.231,0.74,,
T,48.273460000,8.849540000,520.6,-11.8,1.232,1.11,,
T,48.273460000,8.849550000,520.6,-7.5,1.233,0.74,,
T,48.273460000,8.849560000,520.5,-7.4,1.234,0.74,,
T,48.273470000,8.849570000,520.4,-13.8,1.235,1.34,,
T,48.273470000,8.849580000,520.3,-7.3,1.236,0.74,,
T,48.273480000,8.849580000,520.2,-11.3,1.237,1.11,,
T,48.273480000,8.849590000,520.1,-7.1,1.238,0.74,,
T,48.273490000,8.849590000,520.0,-11.2,1.239,1.11,,
T,48.273500000,8.849590000,519.9,-11.3,1.240,1.11,,
