type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.280900000,8.860870000,509.0,1.9,1.499,5.61,,
T,48.280780000,8.860850000,509.3,2.0,1.513,13.43,,
T,48.280470000,8.860820000,510.3,3.0,1.547,34.54,,
T,48.280430000,8.860810000,510.5,3.7,1.552,4.51,,
T,48.280340000,8.860840000,510.8,3.0,1.562,10.25,,
T,48.280110000,8.860790000,512.8,7.7,1.588,25.84,,
T,48.279900000,8.860780000,513.5,3.2,1.611,23.36,,
T,48.279690000,8.860820000,513.0,-2.2,1.635,23.54,,
T,48.279630000,8.860860000,513.1,0.9,1.642,7.30,,
T,48.279480000,8.860950000,513.1,-0.1,1.660,17.97,,
T,48.279320000,8.861140000,513.9,3.7,1.683,22.70,,
T,48.279300000,8.861200000,514.0,2.9,1.688,4.98,,
T,48.279210000,8.861410000,514.8,4.0,1.706,18.52,,
T,48.279090000,8.861960000,518.1,7.6,1.749,42.95,,
T,48.279010000,8.862330000,519.0,3.3,1.778,28.87,,
T,48.278960000,8.862540000,518.9,-0.6,1.795,16.55,,
T,48.278840000,8.863180000,518.2,-1.5,1.844,49.34,,
T,48.278840000,8.863180000,518.2,,1.844,0.00,,
T,48.278160000,8.862840000,520.3,2.7,1.924,79.71,,
T,48.277990000,8.862750000,521.1,4.0,1.944,20.05,,
T,48.277480000,8.862490000,522.0,1.4,2.004,59.90,,
T,48.277390000,8.862440000,522.0,0.0,2.014,10.67,,
T,48.276900000,8.862150000,523.9,3.2,2.073,58.58,,
T,48.276630000,8.861950000,524.0,0.4,2.106,33.49,,
T,48.276510000,8.861870000,523.6,-3.0,2.121,14.61,,
T,48.276260000,8.861710000,522.2,-4.4,2.151,30.23,,
T,48.276130000,8.861660000,522.0,-1.8,2.166,14.92,,
T,48.276130000,8.861660000,522.0,,2.166,0.00,,
T,48.275240000,8.861410000,526.1,4.1,2.267,100.69,,
T,48.275240000,8.861410000,526.1,,2.267,0.00,,
T,48.275110000,8.861600000,526.8,3.4,2.287,20.20,,
T,48.275030000,8.861720000,527.2,3.3,2.300,12.59,,
T,48.274950000,8.861930000,527.8,3.3,2.318,17.95,,
T,48.274930000,8.862050000,528.0,2.9,2.327,9.18,,
T,48.274880000,8.862270000,528.2,1.0,2.344,17.25,,
T,48.274730000,8.862980000,529.7,2.8,2.399,55.28,,
T,48.274700000,8.863110000,530.0,2.7,2.410,10.21,,
T,48.274680000,8.863240000,530.1,0.9,2.419,9.90,,
T,48.274680000,8.863300000,530.1,0.7,2.424,4.45,,
T,48.274670000,8.863430000,530.5,4.1,2.434,9.71,,
T,48.274700000,8.863630000,531.2,4.5,2.449,15.22,,
T,48.274750000,8.863720000,531.8,6.5,2.458,8.69,,
T,48.274830000,8.863820000,532.5,6.2,2.469,11.59,,
T,48.274990000,8.863930000,533.3,4.1,2.489,19.58,,
