type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.271730000,8.873180000,563.4,-4.4,6.487,15.22,,
T,48.271620000,8.872580000,560.7,-5.9,6.533,46.19,,
T,48.271600000,8.872380000,559.4,-9.1,6.548,15.01,,
T,48.271470000,8.871800000,556.2,-7.0,6.593,45.42,,
T,48.271390000,8.871400000,556.0,-0.6,6.624,31.00,,
T,48.271260000,8.870990000,556.5,1.6,6.658,33.69,,
T,48.271120000,8.870640000,555.3,-4.1,6.688,30.29,,
T,48.271100000,8.870600000,555.3,-0.1,6.692,3.71,,
T,48.271000000,8.870390000,555.4,0.4,6.711,19.15,,
T,48.270880000,8.870180000,555.0,-2.0,6.732,20.52,,
T,48.270820000,8.870070000,554.6,-3.5,6.742,10.54,,
T,48.270550000,8.869710000,554.9,0.8,6.782,40.19,,
T,48.270400000,8.869540000,553.5,-6.7,6.803,20.92,,
T,48.270170000,8.869260000,554.2,2.0,6.836,32.96,,
T,48.269810000,8.868850000,557.1,5.9,6.887,50.29,,
T,48.269810000,8.868850000,557.1,,6.887,0.00,,
T,48.269840000,8.868730000,556.3,-9.3,6.896,9.51,,
T,48.269880000,8.868580000,555.2,-8.7,6.908,11.99,,
T,48.269900000,8.868480000,554.4,-10.2,6.916,7.75,,
T,48.269920000,8.868390000,553.7,-10.2,6.923,7.04,,
T,48.269930000,8.868330000,553.2,-10.3,6.928,4.59,,
T,48.269940000,8.868220000,552.2,-12.8,6.936,8.24,,
T,48.269950000,8.868130000,551.2,-13.6,6.943,6.77,,
T,48.269960000,8.868090000,550.8,-15.1,6.946,3.17,,
T,48.269960000,8.868050000,550.4,-12.7,6.949,2.97,,
T,48.269960000,8.867990000,550.0,-9.7,6.953,4.45,,
T,48.269950000,8.867860000,549.1,-8.5,6.963,9.71,,
T,48.269920000,8.867580000,546.9,-10.4,6.984,21.05,,
T,48.269830000,8.866950000,544.9,-4.3,7.032,47.83,,
T,48.269760000,8.866560000,544.7,-0.6,7.062,29.98,,
T,48.269750000,8.866380000,544.7,-0.0,7.075,13.41,,
T,48.269730000,8.866010000,543.6,-4.0,7.103,27.56,,
T,48.269730000,8.865610000,542.2,-4.8,7.132,29.69,,
T,48.269730000,8.865260000,541.0,-4.6,7.158,25.98,,
T,48.269740000,8.864980000,540.8,-0.8,7.179,20.82,,
T,48.269760000,8.864830000,540.1,-6.0,7.191,11.36,,
T,48.269850000,8.864390000,537.4,-7.9,7.225,34.16,,
T,48.269970000,8.863950000,534.6,-7.9,7.260,35.28,,
T,48.270070000,8.863630000,533.3,-5.1,7.286,26.23,,
T,48.270130000,8.863480000,533.2,-0.4,7.299,12.98,,
T,48.270300000,8.863100000,532.9,-0.9,7.333,33.96,,
T,48.270470000,8.862810000,531.7,-4.3,7.362,28.65,,
T,48.270520000,8.862730000,531.6,-1.5,7.370,8.14,,
T,48.270670000,8.862460000,532.7,4.4,7.396,26.08,,
T,48.270840000,8.862150000,533.2,1.6,7.426,29.78,,
T,48.270880000,8.862090000,533.1,-2.3,7.432,6.29,,
T,48.271140000,8.861650000,531.8,-2.9,7.476,43.62,,
T,48.271210000,8.861540000,531.5,-3.1,7.487,11.28,,
T,48.271640000,8.860890000,528.5,-4.4,7.555,67.93,,
T,48.271860000,8.860560000,528.6,0.3,7.590,34.62,,
T,48.271890000,8.860530000,528.6,-0.3,7.594,4.01,,
T,48.271920000,8.860490000,528.6,1.6,7.598,4.47,,
T,48.271990000,8.860410000,528.8,1.5,7.608,9.79,,
T,48.272140000,8.860180000,529.0,1.0,7.632,23.87,,
T,48.272280000,8.859890000,529.5,1.7,7.658,26.57,,
T,48.272280000,8.859890000,529.5,,7.658,0.00,,
T,48.272450000,8.860130000,527.7,-6.9,7.684,25.98,,
T,48.272710000,8.860510000,526.2,-3.8,7.725,40.39,,
T,48.272800000,8.860660000,525.5,-4.5,7.740,14.97,,
T,48.272960000,8.860860000,524.5,-4.4,7.763,23.17,,
T,48.273190000,8.860960000,524.4,-0.2,7.789,26.63,,
T,48.273310000,8.861010000,524.4,-0.5,7.803,13.85,,
T,48.273330000,8.861010000,524.3,-3.2,7.805,2.22,,
T,48.273490000,8.861010000,523.9,-2.1,7.823,17.79,,
T,48.273890000,8.861010000,523.0,-2.1,7.868,44.48,,
T,48.274100000,8.861040000,522.8,-0.8,7.891,23.46,,
T,48.274320000,8.861090000,523.5,2.7,7.916,24.74,,
T,48.274670000,8.861210000,524.6,2.9,7.956,39.92,,
T,48.275240000,8.861410000,526.1,2.2,8.021,65.10,,
T,48.275240000,8.861410000,526.1,,8.021,0.00,,
T,48.276130000,8.861660000,522.0,-4.1,8.122,100.69,,
T,48.276130000,8.861660000,522.0,,8.122,0.00,,
T,48.276260000,8.861710000,522.2,1.8,8.137,14.92,,
T,48.276510000,8.861870000,523.6,4.4,8.167,30.23,,
T,48.276630000,8.861950000,524.0,3.0,8.181,14.61,,
T,48.276900000,8.862150000,523.9,-0.4,8.215,33.49,,
T,48.277390000,8.862440000,522.0,-3.2,8.273,58.58,,
T,48.277480000,8.862490000,522.0,0.0,8.284,10.67,,
T,48.277990000,8.862750000,521.1,-1.4,8.344,59.90,,
T,48.278160000,8.862840000,520.3,-4.0,8.364,20.05,,
T,48.278840000,8.863180000,518.2,-2.7,8.444,79.71,,
T,48.278840000,8.863180000,518.2,,8.444,0.00,,
T,48.278960000,8.862540000,518.9,1.5,8.493,49.34,,
T,48.279010000,8.862330000,519.0,0.6,8.510,16.55,,
T,48.279090000,8.861960000,518.1,-3.3,8.539,28.87,,
T,48.279210000,8.861410000,514.8,-7.6,8.581,42.95,,
T,48.279300000,8.861200000,514.0,-4.0,8.600,18.52,,
T,48.279320000,8.861140000,513.9,-2.9,8.605,4.98,,
T,48.279480000,8.860950000,513.1,-3.7,8.628,22.70,,
T,48.279630000,8.860860000,513.1,0.1,8.646,17.97,,
T,48.279690000,8.860820000,513.0,-0.9,8.653,7.30,,
T,48.279900000,8.860780000,513.5,2.2,8.676,23.54,,
T,48.280110000,8.860790000,512.8,-3.2,8.700,23.36,,
T,48.280340000,8.860840000,510.8,-7.7,8.726,25.84,,
T,48.280430000,8.860880000,510.5,-2.6,8.736,10.44,,
T,48.280470000,8.860890000,510.4,-3.5,8.741,4.51,,
T,48.280600000,8.860910000,509.9,-3.0,8.755,14.53,,
T,48.280770000,8.860940000,509.8,-0.6,8.774,19.03,,
T,48.280780000,8.860940000,509.8,-0.7,8.775,1.11,,
T,48.280900000,8.860960000,509.7,-1.1,8.789,13.43,,
T,48.280960000,8.860990000,509.7,0.0,8.796,7.03,,
T,48.281300000,8.861110000,510.7,2.6,8.835,38.84,,
T,48.281300000,8.861110000,510.7,,8.835,0.00,,
T,48.281380000,8.861130000,511.0,4.0,8.844,9.02,,
T,48.281400000,8.861010000,510.6,-4.8,8.853,9.18,,
T,48.281410000,8.860820000,509.9,-5.1,8.867,14.15,,
T,48.281410000,8.860470000,509.3,-2.4,8.893,25.98,,
T,48.281390000,8.860330000,509.8,5.1,8.904,10.63,,
T,48.281390000,8.860270000,510.0,4.2,8.908,4.45,,
T,48.281390000,8.860210000,510.0,0.0,8.912,4.45,,
T,48.281390000,8.860150000,510.0,0.0,8.917,4.45,,
T,48.281390000,8.860100000,510.0,0.0,8.921,3.71,,
T,48.281390000,8.860070000,510.0,0.0,8.923,2.23,,
T,48.281380000,8.860020000,509.9,-1.4,8.927,3.87,,
T,48.281380000,8.859950000,509.8,-3.6,8.932,5.20,,
T,48.281350000,8.859820000,509.0,-7.5,8.942,10.21,,
T,48.281330000,8.859720000,508.4,-8.1,8.950,7.75,,
T,48.281310000,8.859640000,507.7,-9.9,8.956,6.34,,
T,48.281280000,8.859580000,507.2,-9.4,8.962,5.56,,
T,48.281190000,8.859420000,506.3,-6.1,8.977,15.53,,
T,48.280950000,8.859170000,505.4,-2.6,9.010,32.50,,
T,48.280910000,8.859150000,505.3,-3.1,9.015,4.69,,
T,48.280570000,8.858960000,505.9,1.7,9.055,40.35,,
T,48.280510000,8.858920000,506.2,3.2,9.062,7.30,,
T,48.280440000,8.858880000,506.4,2.8,9.071,8.33,,
T,48.280300000,8.858810000,506.9,3.1,9.087,16.41,,
T,48.279990000,8.858650000,508.2,3.5,9.123,36.46,,
T,48.279820000,8.858550000,508.9,3.6,9.144,20.31,,
T,48.279530000,8.858390000,508.8,-0.3,9.178,34.36,,
T,48.279360000,8.858300000,508.6,-1.2,9.198,20.05,,
T,48.279290000,8.858250000,508.1,-5.0,9.207,8.62,,
T,48.279050000,8.858110000,507.5,-2.1,9.235,28.64,,
T,48.278940000,8.858010000,507.7,1.0,9.250,14.31,,
T,48.278770000,8.857850000,507.7,0.0,9.272,22.32,,
T,48.278610000,8.857680000,508.0,1.4,9.294,21.81,,
T,48.278490000,8.857520000,508.0,0.2,9.312,17.86,,
T,48.277410000,8.856390000,509.0,0.7,9.458,146.48,,
T,48.277240000,8.856170000,508.2,-3.2,9.483,24.98,,
T,48.277140000,8.856040000,507.8,-2.9,9.498,14.72,,
T,48.277060000,8.855910000,507.1,-4.9,9.511,13.12,,
T,48.276950000,8.855690000,507.0,-0.7,9.531,20.40,,
T,48.276890000,8.855570000,507.0,0.2,9.543,11.13,,
T,48.276830000,8.855440000,507.4,3.5,9.554,11.73,,
T,48.276580000,8.854870000,508.6,2.4,9.605,50.62,,
T,48.276370000,8.854430000,508.9,0.7,9.645,40.15,,
T,48.276320000,8.854230000,508.6,-2.3,9.661,15.85,,
T,48.276250000,8.854150000,508.0,-6.0,9.671,9.79,,
T,48.275970000,8.853850000,506.4,-4.2,9.709,38.28,,
T,48.275900000,8.853710000,505.9,-3.3,9.722,12.98,,
T,48.275900000,8.853710000,505.9,,9.722,0.00,,
T,48.275910000,8.853620000,505.7,-2.8,9.729,6.77,,
T,48.275920000,8.853590000,505.7,-0.1,9.731,2.49,,
T,48.275920000,8.853540000,505.9,3.3,9.735,3.71,,
T,48.275960000,8.853370000,506.0,1.1,9.748,13.38,,
T,48.275980000,8.853310000,506.2,3.5,9.753,4.98,,
T,48.275990000,8.853250000,506.7,11.8,9.758,4.59,,
T,48.276000000,8.853220000,506.9,8.4,9.760,2.49,,
T,48.276010000,8.853110000,507.9,11.9,9.769,8.24,,
T,48.276030000,8.852970000,509.2,11.9,9.779,10.63,,
T,48.276050000,8.852660000,512.5,14.4,9.802,23.12,,
T,48.276020000,8.852360000,515.2,11.7,9.825,22.52,,
T,48.276010000,8.852190000,515.7,4.5,9.837,12.67,,
T,48.276020000,8.852070000,515.7,-0.8,9.846,8.98,,
T,48.276020000,8.851480000,515.1,-1.3,9.890,43.79,,
T,48.276020000,8.851480000,515.1,,9.890,0.00,,
T,48.276030000,8.851470000,515.1,-1.7,9.892,1.34,,
T,48.276050000,8.851460000,515.1,-1.2,9.894,2.34,,
T,48.276050000,8.851450000,515.0,-1.1,9.895,0.74,,
T,48.276060000,8.851440000,515.0,-1.0,9.896,1.34,,
T,48.276070000,8.851420000,515.0,-0.9,9.898,1.85,,
T,48.276070000,8.851390000,515.0,-0.7,9.900,2.23,,
T,48.276240000,8.851350000,515.0,-0.0,9.919,19.14,,
T,48.276320000,8.851290000,515.0,0.0,9.929,9.95,,
T,48.276420000,8.851270000,515.0,0.4,9.940,11.22,,
T,48.277620000,8.851070000,515.0,-0.0,10.075,134.26,,
T,48.277770000,8.851060000,515.0,0.0,10.091,16.70,,
T,48.277910000,8.851110000,515.0,0.0,10.107,16.00,,
T,48.278410000,8.851040000,515.2,0.4,10.163,55.84,,
T,48.278570000,8.850970000,515.4,1.2,10.182,18.53,,
T,48.278690000,8.850960000,515.2,-1.8,10.195,13.36,,
T,48.278860000,8.850970000,514.6,-3.0,10.214,18.92,,
T,48.279180000,8.850950000,514.4,-0.4,10.250,35.61,,
T,48.279330000,8.850950000,514.7,1.4,10.266,16.68,,
T,48.279450000,8.850950000,514.8,1.1,10.280,13.34,,
