type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.010710000,8.359280000,115.0,0.0,0.000,,,
T,49.010670000,8.359210000,115.0,0.0,0.007,6.78,,
T,49.010410000,8.358820000,114.8,-0.6,0.047,40.62,,
T,49.010410000,8.358820000,114.8,,0.047,0.00,,
T,49.010370000,8.358750000,114.5,-3.7,0.054,6.78,,
T,49.010320000,8.358660000,114.2,-3.8,0.063,8.62,,
T,49.010170000,8.358430000,114.6,2.0,0.086,23.69,,
T,49.010120000,8.358340000,115.1,5.6,0.095,8.62,,
T,49.010050000,8.358170000,116.1,6.8,0.110,14.67,,
