type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.006830000,8.346420000,116.5,2.1,3.207,0.73,,
T,49.006780000,8.346810000,117.0,1.8,3.236,29.07,,
T,49.006710000,8.347320000,116.7,-0.7,3.274,38.12,,
T,49.006650000,8.347600000,116.6,-0.4,3.296,21.54,,
T,49.006630000,8.347730000,116.1,-4.6,3.305,9.77,,
T,49.006560000,8.347980000,115.3,-4.4,3.325,19.88,,
T,49.006460000,8.348310000,114.1,-4.5,3.352,26.58,,
T,49.006340000,8.348630000,113.9,-0.7,3.379,26.95,,
T,49.006320000,8.348640000,113.9,-1.5,3.381,2.34,,
T,49.006310000,8.348640000,113.8,-3.2,3.382,1.11,,
T,49.006300000,8.348650000,113.8,0.0,3.384,1.33,,
T,49.006220000,8.348790000,114.0,1.6,3.397,13.57,,
T,49.006110000,8.348980000,114.3,1.5,3.416,18.52,,
T,49.006100000,8.349000000,114.3,1.1,3.418,1.84,,
T,49.006020000,8.349120000,114.2,-0.9,3.430,12.50,,
T,49.005960000,8.349200000,114.0,-2.2,3.439,8.88,,
T,49.005930000,8.349230000,113.9,-2.7,3.443,3.99,,
T,49.005910000,8.349260000,113.9,-1.2,3.446,3.12,,
T,49.005820000,8.349350000,113.7,-1.5,3.458,11.98,,
T,49.005580000,8.349860000,114.0,0.6,3.504,45.88,,
T,49.005520000,8.349990000,114.1,1.1,3.516,11.62,,
T,49.005520000,8.349990000,114.1,,3.516,0.00,,
T,49.005470000,8.350070000,114.2,1.3,3.524,8.07,,
T,49.005420000,8.350180000,114.2,-0.6,3.533,9.78,,
T,49.005490000,8.350280000,114.0,-1.5,3.544,10.68,,
T,49.005640000,8.350480000,114.7,3.2,3.566,22.19,,
T,49.005720000,8.350580000,115.1,3.1,3.578,11.52,,
T,49.005970000,8.350890000,116.0,2.5,3.614,35.88,,
T,49.006450000,8.351490000,114.9,-1.7,3.683,69.11,,
T,49.006770000,8.351890000,116.2,3.0,3.729,46.07,,
T,49.007500000,8.352800000,119.1,2.7,3.834,104.99,,
T,49.007750000,8.353100000,117.3,-5.0,3.869,35.42,,
T,49.008080000,8.353520000,114.2,-6.5,3.917,47.86,,
T,49.008230000,8.353720000,113.4,-3.8,3.939,22.19,,
T,49.008360000,8.353910000,113.1,-1.4,3.959,20.06,,
T,49.008490000,8.354120000,113.6,2.2,3.980,21.10,,
T,49.008510000,8.354140000,113.6,2.7,3.983,2.66,,
T,49.008550000,8.354190000,113.8,2.2,3.989,5.76,,
T,49.008580000,8.354230000,113.9,2.3,3.993,4.44,,
T,49.008620000,8.354300000,114.1,3.2,4.000,6.78,,
T,49.008650000,8.354350000,114.3,5.0,4.005,4.95,,
T,49.008690000,8.354420000,114.6,3.9,4.012,6.78,,
T,49.008720000,8.354470000,114.7,2.7,4.017,4.95,,
T,49.008750000,8.354540000,114.8,1.6,4.023,6.11,,
T,49.008860000,8.354740000,115.6,4.2,4.042,19.07,,
T,49.008930000,8.354890000,115.4,-1.7,4.055,13.45,,
T,49.008970000,8.355000000,115.0,-4.3,4.065,9.20,,
T,49.009000000,8.355080000,115.1,0.9,4.071,6.74,,
T,49.009060000,8.355230000,114.8,-1.9,4.084,12.84,,
T,49.009120000,8.355370000,114.1,-6.1,4.096,12.22,,
T,49.009180000,8.355560000,113.0,-7.2,4.112,15.42,,
T,49.009250000,8.355770000,112.5,-2.8,4.129,17.22,,
T,49.009300000,8.355970000,111.8,-4.4,4.145,15.65,,
T,49.009370000,8.356200000,111.5,-1.5,4.163,18.54,,
T,49.009390000,8.356270000,111.7,2.8,4.169,5.58,,
T,49.009400000,8.356340000,111.9,3.7,4.174,5.24,,
T,49.009440000,8.356460000,112.3,4.1,4.184,9.84,,
T,49.009500000,8.356740000,113.5,5.6,4.205,21.54,,
T,49.009560000,8.356970000,114.2,4.4,4.224,18.10,,
T,49.009580000,8.357070000,114.5,2.8,4.231,7.65,,
T,49.009620000,8.357290000,114.9,2.6,4.248,16.70,,
T,49.009660000,8.357460000,115.3,3.3,4.261,13.21,,
T,49.009720000,8.357800000,116.1,2.9,4.287,25.75,,
T,49.009720000,8.357800000,116.1,,4.287,0.00,,
T,49.009700000,8.357940000,116.3,2.6,4.297,10.48,,
T,49.009710000,8.358000000,116.6,6.9,4.302,4.53,,
T,49.009710000,8.358060000,116.8,3.8,4.306,4.39,,
